Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Nummer,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,62,Kloten,,,311.0,StGB,Einbruchdiebstahl,124,88,36,17504.0,7.1
2009,62,Kloten,,,311.0,StGB,Einschleichdiebstahl,46,45,1,17504.0,2.6
2009,62,Kloten,,,311.0,StGB,Einbrüche insgesamt,170,133,37,17504.0,9.7
2009,7,Knonau,,,311.0,StGB,Einbruchdiebstahl,5,3,2,1733.0,2.9
2009,7,Knonau,,,311.0,StGB,Einschleichdiebstahl,1,1,0,1733.0,0.6
2009,7,Knonau,,,311.0,StGB,Einbrüche insgesamt,6,4,2,1733.0,3.5
2009,154,Küsnacht,,,311.0,StGB,Einbruchdiebstahl,135,90,45,13283.0,10.2
2009,154,Küsnacht,,,311.0,StGB,Einschleichdiebstahl,24,21,3,13283.0,1.8
2009,154,Küsnacht,,,311.0,StGB,Einbrüche insgesamt,159,111,48,13283.0,12.0
2009,136,Langnau,,,311.0,StGB,Einbruchdiebstahl,47,37,10,7148.0,6.6
2009,136,Langnau,,,311.0,StGB,Einschleichdiebstahl,7,7,0,7148.0,1.0
2009,136,Langnau,,,311.0,StGB,Einbrüche insgesamt,54,44,10,7148.0,7.6
2009,34,Laufen-Uhwiesen,,,311.0,StGB,Einbruchdiebstahl,8,5,3,1512.0,5.3
2009,34,Laufen-Uhwiesen,,,311.0,StGB,Einschleichdiebstahl,1,1,0,1512.0,0.7
2009,34,Laufen-Uhwiesen,,,311.0,StGB,Einbrüche insgesamt,9,6,3,1512.0,6.0
2009,176,Lindau,,,311.0,StGB,Einbruchdiebstahl,26,17,9,4913.0,5.3
2009,176,Lindau,,,311.0,StGB,Einschleichdiebstahl,10,10,0,4913.0,2.0
2009,176,Lindau,,,311.0,StGB,Einbrüche insgesamt,36,27,9,4913.0,7.3
2009,63,Lufingen,,,311.0,StGB,Einbruchdiebstahl,11,10,1,1610.0,6.8
2009,63,Lufingen,,,311.0,StGB,Einschleichdiebstahl,3,3,0,1610.0,1.9
2009,63,Lufingen,,,311.0,StGB,Einbrüche insgesamt,14,13,1,1610.0,8.7
2009,35,Marthalen,,,311.0,StGB,Einbruchdiebstahl,8,4,4,1883.0,4.2
2009,35,Marthalen,,,311.0,StGB,Einschleichdiebstahl,4,4,0,1883.0,2.1
2009,35,Marthalen,,,311.0,StGB,Einbrüche insgesamt,12,8,4,1883.0,6.4
2009,8,Maschwanden,,,311.0,StGB,Einbruchdiebstahl,1,1,0,568.0,1.8
2009,8,Maschwanden,,,311.0,StGB,Einschleichdiebstahl,0,0,0,568.0,0.0
2009,8,Maschwanden,,,311.0,StGB,Einbrüche insgesamt,1,1,0,568.0,1.8
2009,195,Maur,,,311.0,StGB,Einbruchdiebstahl,43,26,17,9275.0,4.6
2009,195,Maur,,,311.0,StGB,Einschleichdiebstahl,11,10,1,9275.0,1.2
2009,195,Maur,,,311.0,StGB,Einbrüche insgesamt,54,36,18,9275.0,5.8
2009,156,Meilen,,,311.0,StGB,Einbruchdiebstahl,56,39,17,12194.0,4.6
2009,156,Meilen,,,311.0,StGB,Einschleichdiebstahl,20,20,0,12194.0,1.6
2009,156,Meilen,,,311.0,StGB,Einbrüche insgesamt,76,59,17,12194.0,6.2
